Restaurant ID,Restaurant Name
6317637,Le Petit Souffle
6304287,Izakaya Kikufuji
6300002,Heat - Edsa Shangri-La
6318506,Ooma
6314302,Sambo Kojin
18189371,Din Tai Fung
6300781,Buffet 101
6301290,Vikings
6300010,Spiral - Sofitel Philippine Plaza Manila
